Name,Common Names,Scientific Name,Family,Toxicity,Toxic Principles,Clinical Signs,URL,Image URL
"Devils Ivy","","Epipremnum aureum","Araceae","Dogs; Cats","Insoluble calcium oxalates","Oral irritation, pain and swelling of mouth, tongue and lips, excessive drooling, vomiting (not horses), difficulty swallowing","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/devils-ivy","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/epipremnum_aureum_devils_ivy-300x200.jpg?itok=L76t44Qc"
"Dieffenbachia","","Dieffenbachia","Araceae","Dogs; Cats","Insoluble calcium oxalates, proteolytic enzyme","Oral irritation, intense burning and irritation of mouth , tongue and lips, excessive drooling, vomiting, difficulty swallowing","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/dieffenbachia","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/dumbcane-r.jpg?itok=i_24rCO4"
"Dock","","Rumex sp.","Polygonaceae","Dogs; Cats","Soluble calcium oxalates","Kidney failure (rare in dogs/cats), tremors, salivation.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/dock","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/dock-r.jpg?itok=MQVJ3467"
"Dog Daisy","","Achillea millefolium","Compositae","Dogs; Cats","Achilleine and alkaloids.","Increased urination, vomiting, diarrhea, dermatitis.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/dog-daisy","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/achillea_millefolium_dog_daisy-300x200.jpg?itok=wIL6lBgL"
"Dog Hobble","","Leucothoe sp.","Ericaceae","Dogs; Cats","Grayanotoxins","Vomiting, diarrhea, depression, cardiovascular collapse, hypersalivation, weakness, coma, low blood pressure, death. Ingestion of a few leaves can cause serious problems.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/dog-hobble","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/dog-hobble-r.jpg?itok=daazEmGw"
"Dogbane Hemp","","Apocynum spp.","Apocynaceae","Dogs; Cats","Cardenolides","Diarrhea (possibly with blood), slow heart rate, weakness","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/dogbane-hemp","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/apocynum_dogbane_hemp-300x200.jpg?itok=NQfKo6Oa"
"Dumbcane","","Dieffenbachia","Araceae","Dogs; Cats","Insoluble calcium oxalates, proteolytic enzyme","Oral irritation, intense burning and irritation of mouth , tongue and lips, excessive drooling, vomiting, difficulty swallowing.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/dumbcane","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/dumbcane-r.jpg?itok=i_24rCO4"
"Dracaena","","Dracaena spp.","Agavaceae","Dogs; Cats","Saponins","Vomiting (occasionally with blood), depression, anorexia, hypersalivation, dilated pupils (cats).","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/dracaena","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/dracaena-r.jpg?itok=skSGhUvr"
"Dwarf Poinciana","","Caesalpinia pulcherrima","Fabaceae","Dogs; Cats","GI Irritants, Tannins","Vomiting and diarrhea.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/dwarf-poinciana","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/peacock-flower-r.jpg?itok=6jJnhTxy"
"Easter Rose","","Helleborus niger","Ranunculaceae","Dogs; Cats","Bufadienolides, glycosides, veratrin and prtoanemonin","Drooling, abdominal pain and diarrhea, colic, depression.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/easter-rose","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/christmas-rose-r.jpg?itok=y0h96g6w"
"Eastern Star","","Dianthus spp.","Caryophyllaceae","Dogs; Cats","GI and skin irritants","Vomiting, dermatitis","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/eastern-star","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/eastern-star-r.jpg?itok=gnf5nivC"
"Elephant Ears","","Caladium hortulanum","Araceae","Dogs; Cats","Calcium oxalate crystals","Oral irritation, intense burning and irritation of the mouth, lips, tongue, excessive drooling, vomiting, difficulty in swallowing.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/elephant-ears","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/elephant-ears-r.jpg?itok=PfV7_OWk"
"Elephant-Ear Begonia","","Begonia scharfii","Begoniaceae","Dogs; Cats","Soluble calcium oxalates","Kidney failure (in grazing animals), vomiting, salivation in dogs/cats. Most toxic part is underground.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/elephant-ear-begonia","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/image_0.jpg?itok=NJmUDGKj"
"Elephant Ears","","Colocasia esculenta","Araceae","Dogs; Cats","Insoluble calcium oxalates","Oral irritation, pain and swelling of mouth, tongue and lips, excessive drooling, vomiting (not horses), difficulty swallowing","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/elephant-ears-0","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/colocasia_esculenta_elephant_ear-300x200.jpg?itok=h37O39DW"
"English Holly","","Ilex aquifolium","Aquifoliaceae","Dogs; Cats","Saponins","Vomiting, diarrhea and depression. Leaves and berries are low toxicity.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/english-holly","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/english-holly-r.jpg?itok=1HernTtZ"
"Emerald Feather","","Asparagus densiflorus","Liliaceae","Dogs; Cats","Unknown","Allergic dermatitis with repeated dermal exposure. Berry ingestion could result in gastric upset (vomiting, abdominal pain, or diarrhea).","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/emerald-feather","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/emerald-feather-r.jpg?itok=dapQUeyW"
"English Yew","","Taxus baccata","Taxaceae","Dogs; Cats","Taxine A and B, Volatile oil","Tremors, difficulty breathing, vomiting, seizures (dogs), sudden death from acute heart failure.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/english-yew","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/japanese-yew-r.jpg?itok=EaETXdIS"
"English Ivy","","Hedera helix","Araliaceae","Dogs; Cats","Triterpenoid saponins (hederagenin)","Vomiting, abdominal pain, hypersalivation, diarrhea. Foliage is more toxic than berries","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/english-ivy","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/english-ivy-r.jpg?itok=70BsIbRy"
"Epazote","","Chenopodium ambrosioides","Chenopodiaceae","Dogs; Cats","Essential oils: ascaridole, limonene, p-cymene","Vomiting, diarrhea (with ingestion of concentrated oils)","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/epazote","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/epazote.jpg?itok=4thCEoB4"
"Eucalyptus","","Eucalyptus species","Myrtaceae","Dogs; Cats","Essential oils: eucalyptol","Salivation, vomiting, diarrhea, depression, weakness","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/eucalyptus","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/eucalyptus-r.jpg?itok=fh36P97s"
"European Holly","","Ilex aquifolium","Aquifoliaceae","Dogs; Cats","Saponins","Vomiting, diarrhea and depression. Leaves and berries are low toxicity.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/european-holly","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/ilex_aquifolium_european_holly-300x200.jpg?itok=2i_5LWKt"
"European Bittersweet","","Solanum dulcamara","Solanaceae","Dogs; Cats","Solanine","Vomiting, diarrhea - common. Drowsiness, low blood pressure, low heart rate - uncommon.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/european-bittersweet","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/european-bittersweet-r.jpg?itok=RVQlIS4I"
"False Bittersweet","","Celastrus scandens","Celastraceae","Dogs; Cats","Sesquiterpene alkaloids","Vomiting, diarrhea","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/false-bittersweet","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/american-bittersweet-r.jpg?itok=OjsmDl4h"
"Exotica","","Dieffenbachia amoena","Araceae","Dogs; Cats","Insoluble calcium oxalates, proteolytic enzyme","Oral irritation, intense burning and irritation of mouth , tongue and lips, excessive drooling, vomiting, difficulty swallowing","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/exotica","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/exotica-r.jpg?itok=X7FcYjoF"
"False Queen Anne’s Lace","","Ammi majus","Apiaceae","Dogs; Cats","Furanocoumarins","Photosensitization (ulcerative and exudative dermatitis)","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/false-queen-annes-lace","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/greater-ammi-r.jpg?itok=Fu5dhOej"
"Feather Geranium","","Ambrosia mexicana","Chenopodiaceae","Dogs; Cats","Sesquiterpene lactones","Vomiting, anorexia, depression","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/feather-geranium","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/ambrosia_mexicana_feather_geranium-300x200.jpg?itok=av62GKCo"
"Fern Palm","","Zamia spp.","Cycadaceae","Dogs; Cats","Cycasin, B-methylamino-l-alanine, unidentified neurotoxin (cattle)","Vomiting (may be bloody), dark stools, jaundice, increased thirst, bloody diarrhea, bruising, liver failure, death. 1-2 seeds can be fatal.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/fern-palm","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/sago-palm-r.jpg?itok=xRE_oPrX"
"Fetter Bush","","Leucothoe spp.","Ericaceae","Dogs; Cats","Grayanotoxins","Vomiting (not in horses), diarrhea, weakness, cardiac failure","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/fetter-bush","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/dog-hobble-r.jpg?itok=daazEmGw"
"Fiddle-Leaf","","Philodendron bipennifolium","Araceae","Dogs; Cats","Insoluble calcium oxalates","Oral irritation, intense burning and irritation of mouth, tongue and lips, excessive drooling, vomiting, difficulty swallowing.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/fiddle-leaf",""
"Fetterbush","","Lyonia spp.","Ericaceae","Dogs; Cats","Grayanotoxins","Vomiting (not in horses), diarrhea, weakness, cardiac failure","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/fetterbush","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/fetterbush_lyonia_sp.-300x200.jpg?itok=JKmSaUUb"
"Figwort","","Ranunculus acris","Ranunculaceae","Dogs; Cats","Protoanemonin (an irritant)","Vomiting, diarrhea, depression, anorexia, hypersalivation and wobbly gait.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/figwort","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/figwort_ranunculus_acris-300x200.jpg?itok=YfF1ZYsq"
"Fig","","Ficus benjamina","Moraceae","Dogs; Cats","Proteolytic enzyme (ficin), psoralen (ficusin)","Gastrointestinal and dermal irritation","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/fig","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/indian-rubber-plant-r.jpg?itok=lzXXOH-s"
"Flag","","Iris species","Iridaceae","Dogs; Cats","Pentacylic terpenoids (zeorin, missourin and missouriensin)","Salivation, vomiting, drooling,lethargy, diarrhea. Highest concentration in rhizomes.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/flag","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/iris-1-r.jpg?itok=RuaNhCxv"
"Fire Lily","","Hippeastrum spp.","Amaryllidaceae","Dogs; Cats","Lycorine and other alkaloids","Vomiting, salvation, diarrhea; large ingestions cause convulsions, low blood pressure, tremors and cardiac arrhythmias. Bulbs are the most poisonous part.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/fire-lily","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/hippeastrum_fire_lily-300x200.jpg?itok=xEnzqg_M"
"Fleabane","","Erigeron speciosus","Asteraceae","Dogs; Cats","Irritant","Mild gastrointestinal signs, mild dermatitis","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/fleabane","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/seaside-daisy-r.jpg?itok=XFtEj0zt"
"Flamingo Flower","","Anthurium scherzeranum","Araceae","Dogs; Cats","Insoluble calcium oxalates","Oral irritation, pain and swelling of mouth, tongue and lips, excessive drooling, vomiting (not horses), difficulty swallowing","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/flamingo-flower","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/flamingo-plant-r.jpg?itok=YtLpSaN7"
"Florida Beauty","","Dracaena surculosa","Asparagaceae","Dogs; Cats","Saponins","Vomiting (occasionally with blood), depression, anorexia, hypersalivation, dilated pupils (cats).","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/florida-beauty","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/florida-beauty.jpeg?itok=41PtlSLL"
"Florist's Calla","","Zantedeschia aethiopica","Araceae","Dogs; Cats","Insoluble calcium oxalates","Oral irritation, intense burning and irritation of mouth, tongue and lips, excessive drooling, vomiting, difficulty swallowing","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/florists-calla","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/arum-lily-r.jpg?itok=UAK_hrAS"
"Foxtail","","Acalypha hispida","Euphorbiaceae","Dogs; Cats","Diterpene esters","Drooling, vomiting, diarrhea","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/foxtail","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/acalypha-hispida_stock_217163740_600x400.png?itok=WvTUMJ_7"
"Foxglove","","Digitalis purpurea","Scrophalariaceae","Dogs; Cats","Cardiac glycosides","Cardiac arrhythmias, vomiting, diarrhea, weakness, cardiac failure, death.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/foxglove","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/foxglove-r.jpg?itok=YO-fr890"
"Garden Calla","","Zantedeschia aethiopica","Araceae","Dogs; Cats","Insoluble calcium oxalates","Oral irritation, intense burning and irritation of mouth, tongue and lips, excessive drooling, vomiting, difficulty swallowing","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/garden-calla","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/arum-lily-r.jpg?itok=UAK_hrAS"
"Franciscan Rain Tree","","Brunfelsia species","Solanaceae","Dogs; Cats","Brunfelsamidine","Tremors, seizures (for several days), diarrhea, vomiting, hypersalivation, lethargy, incoordination, coughing","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/franciscan-rain-tree","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/yesterday-today-tomorrow-r.jpg?itok=r7plL0Ro"
"Garden Chamomile","","Anthemis nobilis","Asteraceae","Dogs; Cats","Volatile oil; bisabolol, chamazulene, anthemic acid, tannic acid","Contact dermatitis, vomiting, diarrhea, anorexia, allergic reactions. Long term use can lead to bleeding tendencies.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/garden-chamomile","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/garden_chamomile_anthemis_nobilis-300x200.jpg?itok=Cpv-ZcZ5"
"Garden Hyacinth","","Hyacinthus orientalis","Liliaceae","Dogs; Cats","Narcissus like alkaloids","Vomiting, diarrhea, dermatitis and allergic reactions. Bulbs contain highest amount of toxin.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/garden-hyacinth","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/garden-hyacinth-r.jpg?itok=plcsQ1S9"
"Gardenia","","Gardenia jasminoides","Rubiaceae","Dogs; Cats","Genioposide, gardenoside","Mild vomiting and/or diarrhea, hives.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/gardenia","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/cape-jasmine-r.jpg?itok=hpPLF-Xc"
"Garlic","","Allium sativum","Liliaceae","Dogs; Cats","N-propyl disulfide","Vomiting, breakdown of red blood cells (hemolytic anemia, Heinz body anemia), blood in urine, weakness, high heart rate, panting","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/garlic","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/garlic-r.jpg?itok=tuzu9Y49"
"Geranium","","Pelargonium species","Geraniaceae","Dogs; Cats","Geraniol, linalool","Vomiting, anorexia, depression, dermatitis","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/geranium","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/geranium-r.jpg?itok=g-zfMFPT"
"Geranium-Leaf Aralia","","Polyscias guilfoylei","Araliaceae","Dogs; Cats","Saponin","Contact dermatitis, vomiting, anorexia, depression.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/geranium-leaf-aralia","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/coffee-tree-r.jpg?itok=zlkBo1R_"
"Giant Dracaena","","Cordyline australis","Agavaceae","Dogs; Cats","Saponins","Vomiting (occasionally with blood), depression, anorexia, hypersalivation, dilated pupils (cats)","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/giant-dracaena","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/giant_dracaena_cordyline_australis-300x200.jpg?itok=Rx1q2HwE"
"Giant Dumb Cane","","Dieffenbachia amoena","Araceae","Dogs; Cats","Insoluble calcium oxalates, proteolytic enzyme","Oral irritation, intense burning and irritation of mouth , tongue and lips, excessive drooling, vomiting, difficulty swallowing","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/giant-dumb-cane","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/exotica-r.jpg?itok=X7FcYjoF"
"Glacier Ivy","","Hedera helix","Araliaceae","Dogs; Cats","Triterpenoid saponins (hederagenin)","Vomiting, abdominal pain, hypersalivation, diarrhea. Foliage is more toxic than berries","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/glacier-ivy","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/glacier-ivy-r.jpg?itok=THKcwDQW"
"Giant Hogweed","","Heracleum maximum","Apiaceae","Dogs; Cats","Furanocoumarins","Photosensitization (ulcerative and exudative dermatitis), ocular toxicity.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/giant-hogweed","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/giant-hogweed-r.jpg?itok=kyPU9e4O"
"Gladiola","","Gladiolus species","Iridaceae","Dogs; Cats","Unknown","Salivation, vomiting, drooling,lethargy, diarrhea. Highest concentration in corms (bulbs).","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/gladiola","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/gladiolas-r.jpg?itok=cZ_amtnT"
"Gloriosa Lily","","Gloriosa superba","Liliaceae","Dogs; Cats","Colchicine related alkaloids","Salivation, vomiting (bloody), diarrhea (bloody), shock, kidney failure, liver damage, bone marrow suppression.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/gloriosa-lily","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/glory-lily-r.jpg?itok=HzN19AQS"
"Gold Dust Dracaena","","Dracaena surculosa","Agavaceae","Dogs; Cats","Unknown","In cats: dilated pupils, abdominal pain, increased heartrate and drooling. In both cats and dogs: vomiting, depression, inappetence, drooling, incoordination, and weakness.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/gold-dust-dracaena","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/florida-beauty.jpeg?itok=41PtlSLL"
"Gold Dieffenbachia","","Dieffenbachia picta","Araceae","Dogs; Cats","Insoluble calcium oxalates","Oral irritation, pain and swelling of mouth, tongue and lips, excessive drooling, vomiting (not horses), difficulty swallowing","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/gold-dieffenbachia","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/gold-dieffenbachia-r.jpg?itok=GhaP4KMi"
"Golden Birds Nest","","Sansevieria trifasciata","Agavaceae","Dogs; Cats","Saponins","Nausea, vomiting, diarrhea.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/golden-birds-nest","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/golden-birds-nest-plant.jpg?itok=gvRiU7TI"
"Golden Pothos","","Epipremnum aureum","Araceae","Dogs; Cats","Insoluble calcium oxalates","Oral irritation, intense burning and irritation of mouth, tongue and lips, excessive drooling, vomiting, difficulty swallowing.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/golden-pothos","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/devils-ivy-2-r.jpg?itok=lBogzE06"
"Golden Ragwort","","Senecio species","Compositae","Dogs; Cats","Pyrrolizidine alkaloids","Horses: liver disease (must be ingested in large amount or over a long time period)","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/golden-ragwort","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/ragwort-r.jpg?itok=Qi6r-qpw"
"Good Luck Plant","","Oxalis spp.","","Dogs; Cats","Soluble calcium oxylates","All parts of the plant have toxic potential, although the possibility of serious effects is usually limited to ingestions of large quantities. Consuming Oxalis species can produce colic in horses, and kidney failure is possible if significant amounts are eaten.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/good-luck-plant",""
"Grapefruit","","Citrus paradisii","Rutaceae","Dogs; Cats","Essential oils and psoralens","Vomiting, diarrhea, depression; potential dermatitis. Fruit is edible, skins and plant material can cause problems.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/grapefruit","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/grapefruit-r.jpg?itok=MKLrUZov"
"Grass Palm","","Cordyline australis","Agavaceae","Dogs; Cats","Saponins","Vomiting (occasionally with blood), depression, anorexia, hypersalivation, dilated pupils (cats)","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/grass-palm","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/grass_palm_cordyline_australis-300x200.jpg?itok=uvT_ItUE"
"Green Gold Naphthysis","","Syngonium podophyllum","Araceae","Dogs; Cats","Insoluble calcium oxalates","Oral irritation, intense burning and irritation of mouth, tongue and lips, excessive drooling, vomiting, difficulty swallowing.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/green-gold-naphthysis","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/green-gold-nephthysis-r.jpg?itok=tp1555XS"
"Greater Ammi","","Ammi majus","Apiaceae","Dogs; Cats","Insoluble calcium oxalates","Oral irritation, intense burning and irritation of mouth, tongue and lips, excessive drooling, vomiting, difficulty swallowing","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/greater-ammi","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/greater-ammi-r.jpg?itok=Fu5dhOej"
"Groundsel","","Senecio species","Compositae","Dogs; Cats","Pyrrolizidine alkaloids","The plant is not very palatable, but will be eaten by animals with no other forage; poisonings typically occur from ingestion of green plant material or material in hay. The toxic components can cause liver failure, referred to as """"walking disease"""" or """"sleepy staggers"""". Signs include weight loss, weakness, sleepiness, yawning, incoordination, yellowish discoloration to mucous membranes (icterus), neurologic problems secondary to liver failure (aimless walking, chewing motions, head pressing). Animals may appear to be normal at first, then become suddenly affected; the syndrome progresses rapidly over a few days to a week. Liver damage, depression, anorexia, vomiting, diarrhea, muddy mucous membranes, weakness, ataxia.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/groundsel","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/senecio_species_groundsel-300x200.jpg?itok=ODJZzePY"
"Ground Apple","","Anthemis nobilis","Asteraceae","Dogs; Cats","Volatile oil; bisabolol, chamazulene, anthemic acid, tannic acid","Contact dermatitis, vomiting, diarrhea, anorexia, allergic reactions. Long term use can lead to bleeding tendencies.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/ground-apple","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/chamomile-r.jpg?itok=VO9UHpsL"
"Hahn's Self Branching English Ivy","","Hedera helix","Araliaceae","Dogs; Cats","Triterpenoid saponins (hederagenin)","Vomiting, abdominal pain, hypersalivation, diarrhea. Foliage is more toxic than berries","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/hahns-self-branching-english-ivy",""
"Hashish","","Cannabis sativa","Cannabaceae","Dogs; Cats","Delta-9-THC (tetrahydrocannabinol)","Prolonged depression, vomiting, incoordination, sleepiness or excitation, hypersalivaton, dilated pupils, low blood pressure, low body temperature, seizure, coma, death (rare)","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/hashish","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/hashish_cannabis_sativa-300x200.jpg?itok=PubM1952"
"Heartleaf Philodendron","","Philodendron hederaceum","Araceae","Dogs; Cats","Insoluble calcium oxalates","Oral irritation, pain and swelling of mouth, tongue and lips, excessive drooling, vomiting (not horses), difficulty swallowing","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/heartleaf-philodendron","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/heartleaf-philodendron.jpg?itok=6lIV2aCk"
